,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Nikola Jokić,2020-21,25,DEN,NBA,15.6,72,72,2488,31.3,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,130,109,12.2,3.4,0.301,9.2,2.5,11.7,8.6,10.9,19.3,9.5,15.7,1.4,3.5,5.1,5.9,3.1,8.6,11.6,8.9,1.4,0.7,3.3,2.9,28.3,0.566,0.606,0.388,0.602,0.868,0.647
2,Rudy Gobert,2020-21,28,UTA,NBA,11.3,71,71,2187,23.5,0.007,0.646,12.2,33.5,23.3,6,0.9,7,13.7,17,131,101,6.1,5.2,0.248,2,2.5,4.5,3.6,6.5,9.7,6.5,9.6,0,0.1,3.9,6.2,4,12,16,1.5,0.7,3.2,2,2.7,17,0.675,0.68,0,0.675,0.623,0.683
3,Damian Lillard,2020-21,30,POR,NBA,10.4,67,67,2398,25.6,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,125,118,9.6,0.8,0.209,7.4,-1.6,5.9,4.8,9.2,20.4,5,9.6,4.2,10.7,6.8,7.4,0.5,3.8,4.3,7.7,0.9,0.3,3.1,1.6,29.4,0.451,0.519,0.391,0.554,0.928,0.623
4,Giannis Antetokounmpo,2020-21,26,MIL,NBA,10.2,61,61,2013,29.2,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,122,107,6.9,3.3,0.244,6.2,2.6,8.8,5.5,11,19.2,9.8,15.4,1.2,3.9,7,10.2,1.7,10,11.7,6.2,1.3,1.3,3.6,2.9,30,0.569,0.636,0.303,0.6,0.685,0.633
5,Jimmy Butler,2020-21,31,MIA,NBA,9.3,52,52,1745,26.5,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,127,108,6.6,2.7,0.255,5.1,2.5,7.5,4.2,7.8,15.7,7.3,13.5,0.5,2.2,7.7,8.9,2,5.7,7.7,7.9,2.3,0.4,2.3,1.5,23.8,0.497,0.538,0.245,0.514,0.863,0.607
6,Chris Paul,2020-21,35,PHO,NBA,9.2,70,70,2199,21.4,0.294,0.206,1.3,14.5,8,40.9,2.2,0.8,14,22.6,124,111,6.5,2.7,0.201,3.4,1.3,4.7,3.7,7.4,14.8,5.7,10.5,1.7,4.3,2.8,3,0.4,4.8,5.3,10.5,1.7,0.3,2.6,2.8,19.3,0.499,0.543,0.395,0.557,0.934,0.599
7,Stephen Curry,2020-21,32,GSW,NBA,9,63,63,2152,26.3,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,119,111,6.5,2.5,0.201,8.1,0,8.1,5.5,10.8,22.3,5.3,9.2,5.5,13.1,5.9,6.5,0.5,5.2,5.6,5.9,1.3,0.1,3.5,1.9,33,0.482,0.569,0.421,0.605,0.916,0.655
8,Bam Adebayo,2020-21,23,MIA,NBA,8.8,64,64,2143,22.7,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15,23.7,122,108,5.6,3.2,0.197,2.9,1.9,4.7,3.6,7.9,13.9,7.9,13.8,0,0.1,4.9,6.2,2.5,7.5,10,6,1.3,1.1,2.9,2.5,20.8,0.57,0.573,0.25,0.571,0.799,0.626
9,Joel Embiid,2020-21,26,PHI,NBA,8.8,51,51,1585,30.3,0.171,0.61,8,29.1,18.7,16.2,1.5,3.9,12.2,35.3,121,104,5.6,3.2,0.266,6.2,1,7.2,3.7,10.5,20.5,9.2,17,1.3,3.5,10.7,12.5,2.6,9.7,12.3,3.3,1.1,1.6,3.6,2.8,33.1,0.513,0.541,0.377,0.545,0.859,0.636
10,Kawhi Leonard,2020-21,29,LAC,NBA,8.8,52,52,1773,26,0.28,0.325,3.6,17.4,10.7,24.9,2.3,1.1,9.2,28.6,126,110,6.4,2.4,0.238,5.7,1,6.7,3.9,9.7,19,7.6,13.7,2.1,5.3,5.5,6.2,1.2,5.9,7.1,5.6,1.7,0.4,2.2,1.7,27.1,0.512,0.557,0.398,0.568,0.885,0.622
11,Zion Williamson,2020-21,20,NOP,NBA,8.7,61,61,2026,27.1,0.033,0.51,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,124,115,7.1,1.6,0.205,5.8,-0.4,5.4,3.8,11.3,18.4,11.1,17.8,0.2,0.6,6.6,9.4,3,4.9,7.8,4,1,0.7,3,2.4,29.2,0.611,0.622,0.294,0.616,0.698,0.649
