,,,,,,,,Miscellaneous,,,,,,Team Advanced,,,,,Opponent Advanced,,,,,,,,,,Team Per Game,,,,,,,,,,,,,Opponent Per Game,,,,,,,,,,,,,,,,
Rk,Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FT/FGA,eFG%,TS%,TOV%,ORB%,FT/FGA,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2010-11,ATL*,NBA,82,44,38,0.537,-0.82,-0.28,-1.1,89.3,106.1,107,0.501,0.542,13.5,23.4,0.209,0.495,0.537,12.3,25.4,0.211,240.6,36.2,78.4,30.1,61,6.1,17.4,16.4,21.1,9.3,30,39.3,22,6.1,4.2,13.6,19,95,36.7,79.7,31.1,63.2,5.6,16.6,16.8,21.7,10.2,30.3,40.6,21.4,6.7,4.2,12.5,18.5,95.8
2,2010-11,BOS*,NBA,82,56,26,0.683,5.37,-0.54,4.83,90.4,106.2,100.3,0.519,0.561,14.5,21.1,0.235,0.469,0.516,14.8,25.3,0.235,241.2,36.9,75.8,31.9,62.2,5,13.6,17.8,23.1,7.8,31,38.8,23.4,8.2,4.2,14.6,20.5,96.5,33.8,77.7,28.4,61.8,5.4,15.9,18.2,24.1,10.5,29.1,39.6,18.7,7,4.4,15.4,20.2,91.1
3,2010-11,CHA,NBA,82,34,48,0.415,-4,-0.08,-4.08,89.6,103.4,107.8,0.482,0.528,14.1,25.7,0.237,0.5,0.544,12.9,24.8,0.229,241.5,35,77.6,30.2,63,4.8,14.7,18.4,24.4,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20,93.3,36,79.2,29,59.5,7,19.6,18.2,23.3,9.8,29.8,39.6,21.7,7.3,6,13.2,21.1,97.3
4,2010-11,CHI*,NBA,82,62,20,0.756,7.32,-0.79,6.53,90.4,108.3,100.3,0.501,0.541,13.5,29.4,0.227,0.463,0.509,13.6,23.8,0.222,241.8,37.1,80.3,30.9,63.1,6.2,17.3,18.2,24.5,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20,98.6,34.2,79.5,29,63.6,5.2,16,17.7,23.1,10.1,28.3,38.4,19,6.9,5.8,14.1,20.1,91.3
5,2010-11,CLE,NBA,82,19,63,0.232,-9.01,0.14,-8.88,93,102.2,111.8,0.472,0.518,13.4,24.2,0.233,0.524,0.561,12.7,26.7,0.211,240.9,35.2,81.1,29,62.9,6.2,18.2,18.9,25.3,10.4,29.9,40.3,21,6.6,4.2,14.2,20.1,95.5,39.4,83,31.3,63.3,8.1,19.7,17.5,23.1,10.9,32.6,43.5,24.2,7.5,6,13.5,21.3,104.5
6,2010-11,DAL*,NBA,82,57,25,0.695,4.23,0.18,4.41,91.3,109.7,105,0.525,0.565,13.6,24.1,0.222,0.488,0.528,13,25.2,0.206,240.3,37.4,78.8,29.6,57.3,7.9,21.6,17.5,22.6,9.5,31.9,41.4,23.8,6.8,4.3,14,19.2,100.2,36.5,81.2,30.3,63.1,6.2,18,16.7,22.3,10.7,30,40.7,20.6,7.6,3.7,13.6,20.1,96
7,2010-11,DEN*,NBA,82,50,32,0.61,4.76,0.05,4.81,95.6,112.3,107.3,0.526,0.574,13.1,23.9,0.281,0.5,0.542,12.7,24.6,0.224,240.3,38.4,80.6,30.3,59.9,8.1,20.8,22.7,29.6,9.6,32.3,42,22.1,7.4,4.3,14.1,21,107.5,38.5,83.9,31.4,63.4,7,20.4,18.8,24.8,10.5,30.8,41.3,22.2,7.5,6,13.7,22.7,102.7
8,2010-11,DET,NBA,82,30,52,0.366,-3.6,-0.18,-3.78,89.2,107.7,111.7,0.495,0.533,12.5,27.4,0.206,0.526,0.567,13.8,27.9,0.235,242.4,37.3,81.1,31.5,65.7,5.8,15.3,16.7,22.6,11.4,27.3,38.6,21.1,7.3,4,13,19.9,97,37.9,78.1,31.5,60.3,6.4,17.8,18.3,23.9,10.6,30.1,40.7,23.3,6.9,4.6,14.1,18.8,100.6
9,2010-11,GSW,NBA,82,36,46,0.439,-2.33,0.33,-2,94.8,108.2,110.7,0.51,0.544,13.3,26.7,0.183,0.509,0.557,14.5,30.7,0.259,241.8,39.6,85.9,31.3,64.6,8.4,21.3,15.7,20.7,11.6,28.9,40.5,22.5,9,5,14.6,22,103.4,38.7,82.8,31.8,63.4,6.9,19.3,21.4,27.6,12.8,32,44.8,24.7,8.2,4.3,16.1,18.4,105.7
10,2010-11,HOU,NBA,82,43,39,0.524,2.18,0.19,2.37,94.2,111.3,109,0.503,0.55,12.3,27.4,0.239,0.5,0.543,12.6,27.3,0.219,242.4,38.7,85.1,30.4,62.6,8.3,22.5,20.3,25.4,11.7,31.1,42.8,23.8,7.1,4.5,13.5,20,105.9,39.8,85.1,34.4,69.9,5.5,15.2,18.6,23.8,11.6,31.1,42.8,20.8,7.2,5.5,13.7,21.4,103.7
11,2010-11,IND*,NBA,82,37,45,0.451,-1.07,-0.3,-1.38,94.7,104.8,106,0.486,0.533,14.1,25.9,0.235,0.487,0.531,12.8,25.9,0.237,241.2,36.6,82.8,29.5,62.6,7.1,20.2,19.4,24.8,11.1,32.4,43.5,19.6,7.1,5.6,15.4,21.7,99.8,37.5,83.4,31.2,66,6.2,17.4,19.7,26.3,11.4,31.9,43.3,20.4,7.5,5.7,13.9,21.4,100.9
12,2010-11,LAC,NBA,82,32,50,0.39,-3.13,0.42,-2.71,92.8,105.3,108.7,0.496,0.535,15.1,28.4,0.234,0.499,0.546,12.8,26.8,0.25,242.1,36.8,80.4,30.5,61.9,6.3,18.5,18.9,26.7,11.6,30.5,42.1,22.1,7.1,4.9,16.4,21.1,98.6,37.1,81.6,30,62.1,7.1,19.5,20.4,26.4,11.1,29.4,40.5,22.3,8,4.9,13.7,22.1,101.8
13,2010-11,LAL*,NBA,82,57,25,0.695,6.11,-0.1,6.01,90.7,111,104.3,0.502,0.545,12.3,29.2,0.228,0.477,0.514,12.8,27.7,0.181,241.8,38.1,82.4,31.8,64.3,6.4,18.1,18.8,24.1,12.1,31.9,44,22,7.3,5.1,13.1,19,101.5,36.7,84,29.9,63.7,6.8,20.3,15.2,19.9,12.2,29.3,41.5,22.3,7.1,4.5,13.6,20.7,95.4
