"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"LeBron James","LAL",1310,50058,9696,22689,6399,3297,3830,878,1691,1488,1809
"Dirk Nowitzki","DAL",1393,47491,3401,7839,2364,1037,1347,417,600,334,703
"Joe Johnson","HOU",1276,44235,5001,11490,3513,1488,1624,554,1335,539,949
"Carmelo Anthony","POR",1191,41721,3354,7711,2351,1003,1512,312,527,361,642
"Paul Pierce","LAC",1222,41673,4372,9915,3201,1171,1638,453,1110,456,715
"Vince Carter","ATL",1409,41497,4243,9673,3056,1187,1607,450,999,505,682
"Kobe Bryant","LAL",1080,41074,5503,12548,3961,1542,2378,663,920,594,948
"Pau Gasol","MIL",1226,40983,3925,9071,2704,1221,1642,406,656,312,909
"Jason Terry","MIL",1329,40143,5069,11253,3954,1115,1820,658,1476,321,794
"Tim Duncan","SAS",1186,39333,3646,8171,2767,879,1704,367,696,307,572
"Jamal Crawford","BKN",1327,38974,4541,10007,3616,925,2087,505,1024,328,597
"Shawn Marion","CLE",1112,38831,2130,4921,1469,661,718,204,547,209,452
"Andre Iguodala","MIA",1192,38784,5014,11201,3841,1173,2260,653,928,388,785
"Dwight Howard","PHI",1182,38495,1641,3923,1000,641,616,113,271,149,492
"Tony Parker","CHA",1254,38293,7035,16290,4815,2220,2227,895,1693,1011,1209
"Andre Miller","SAS",1222,38179,8048,17464,6680,1368,3999,703,1978,426,942
"Chris Paul","PHX",1090,37757,10275,23657,7168,3107,4008,898,2262,994,2113
"Kevin Garnett","MIN",1095,36889,4113,9068,3271,842,1590,469,1212,262,580
"Dwyane Wade","MIA",1054,35788,5701,13073,4030,1671,2408,492,1130,697,974
"Ray Allen","MIA",1004,35748,3309,7457,2470,839,1303,455,712,323,516
"LaMarcus Aldridge","BKN",1029,35194,2034,4971,1131,903,574,173,384,228,675
"Antawn Jamison","LAC",993,35033,1637,3697,1214,423,645,182,387,107,316
"Jason Kidd","NYK",977,34682,8243,17968,6761,1482,3493,983,2285,404,1078
"Zach Randolph","SAC",1115,34627,2049,4707,1440,609,896,243,301,91,518
"Richard Jefferson","DEN",1181,34303,2412,5480,1756,656,851,239,666,209,447
"Steve Nash","LAL",980,32922,9444,21186,7146,2298,4110,1157,1879,767,1531
"Russell Westbrook","WAS",943,32748,8061,18361,5822,2239,3559,963,1300,702,1537
"Rudy Gay","SAS",1009,32708,2167,4906,1595,572,889,340,366,188,384
"Trevor Ariza","MIA",1094,32488,2352,5453,1603,749,970,263,370,282,467
"Kevin Durant","BKN",884,32461,3681,8533,2510,1171,1518,401,591,398,773
"Chris Bosh","MIA",893,31939,1795,4168,1217,578,643,188,386,190,388
"Elton Brand","PHI",977,31919,2029,4607,1480,549,608,237,635,85,464
"Rashard Lewis","MIA",947,31828,1691,3973,1100,591,558,205,337,187,404
"Tyson Chandler","HOU",1160,31621,967,2176,725,242,353,109,263,44,198
"Tayshaun Prince","MIN",1017,31577,2407,5391,1830,577,727,379,724,161,416
"Kyle Korver","MIL",1232,31162,2114,4618,1724,390,1029,309,386,137,253
"Thaddeus Young","CHI",1033,30934,1899,4374,1323,576,844,215,264,197,379
"Luol Deng","MIN",902,30927,2042,4654,1472,570,816,204,452,199,371
"Kyle Lowry","TOR",960,30483,5995,13742,4243,1752,2502,832,909,602,1150
"James Harden","BKN",877,30196,5730,13645,3545,2185,2886,399,260,784,1401
"Marvin Williams","MIL",1072,30158,1373,3145,974,399,506,139,329,114,285
"Paul Millsap","DEN",1052,30123,2349,5497,1550,799,891,197,462,278,521
"DeMar DeRozan","SAS",881,30048,3355,8257,1808,1547,994,402,412,453,1094
"Shane Battier","MIA",977,30003,1717,3876,1275,442,611,279,385,152,290
