"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"LeBron James","LAL",1310,50058,96815,35367,10924,19866,0.5498842243028289,1979,5738,0.34489369118159635,0.3481246698362388,7582,7550,14298,2805,3132,0.34556938850238006,0.361244019138756,0.4724608388074785,0.2241056084986721,0.5154689016978394,0.5425910014060303,0.587056625179352,948,940,0.047317024061210106,19,0.0033112582781456954,31.38252910755024
"Dirk Nowitzki","DAL",1393,47491,91678,29740,8666,17444,0.4967897271268058,1852,4836,0.3829611248966088,0.38498336106489184,6852,9816,7516,5259,297,0.5663512577890607,0.5861698316015765,0.9465442764578834,0.2170556552962298,0.4586334120133082,0.5136445242369838,0.5732618647051919,586,674,0.03863792708094474,9,0.0018610421836228288,26.90336678849761
"Joe Johnson","HOU",1276,44235,83993,20405,5844,12388,0.47174685179205683,1978,5331,0.3710373288313637,0.3758325404376784,2783,3670,8018,5094,840,0.31399726214921286,0.32483625420428397,0.8584428715874621,0.30086347988035445,0.471000468164794,0.49726282521586995,0.5263583272499739,390,613,0.04948337100419761,21,0.0039392234102419805,22.56825582366202
"Carmelo Anthony","POR",1191,41721,82312,27370,8218,17444,0.471107544141252,1582,4476,0.35344057193923145,0.35785423268447264,6188,7124,9312,3822,924,0.4334387928936481,0.46549921589127025,0.8053097345132744,0.2041970802919708,0.4915248180361638,0.4831660583941606,0.5369443451316888,1132,1367,0.07836505388672323,12,0.002680965147453083,29.9412915851272
"Paul Pierce","LAC",1222,41673,80239,24180,5935,12387,0.4791313473803181,1963,5332,0.3681545386346587,0.37013967534918835,6421,5292,6578,5118,771,0.4458298230834035,0.45985401459854014,0.869077941925624,0.30091991647384164,0.5009675609894153,0.5011287318697444,0.5652503075612757,362,973,0.07855009283926698,55,0.010315078769692423,27.05625062445187
"Vince Carter","ATL",1409,41497,79679,22708,5984,13011,0.4599185304742141,2176,5866,0.3709512444595977,0.37381567614125755,4212,4950,7018,5409,1119,0.41360294117647056,0.44133380884450785,0.8285845588235294,0.3107485299570906,0.4869500585013029,0.4899083540816867,0.5315866565866566,752,641,0.049266005687495194,17,0.002898056597340607,25.832323454885973
"Kobe Bryant","LAL",1080,41074,79883,29403,8608,17958,0.4793406838177971,1628,4945,0.32922143579373103,0.3336751435602953,7303,5972,11244,3216,1668,0.3468866171003718,0.3580765079745773,0.6584766584766585,0.2159105794000786,0.46767433890277604,0.482469545474392,0.5458424178633186,538,956,0.053235326873816685,33,0.006673407482305359,32.643350247174375
"Pau Gasol","MIL",1226,40983,79324,20894,7801,15243,0.5117758971331102,179,486,0.3683127572016461,0.3729166666666667,4755,9320,6282,528,9,0.5973593129086014,0.6704071356639333,0.9832402234636871,0.030898340644669082,0.4728776639735352,0.513033250683451,0.5620057029106365,1700,1208,0.07924949156990094,3,0.006172839506172839,23.437137523060436
"Jason Terry","MIL",1329,40143,76998,18224,4429,9132,0.48499780989925534,2236,5853,0.38202631129335385,0.384946606958319,2658,3464,5394,5559,1149,0.39105892978098894,0.39480282653293824,0.8287119856887298,0.3905905905905906,0.48993582349785403,0.5193860527193861,0.5521893781430148,84,574,0.06285589137100307,24,0.004100461301896463,21.148432246372682
"Tim Duncan","SAS",1186,39333,74062,21965,8505,16781,0.5068231928967284,28,140,0.2,0.22580645161290322,4871,9290,7720,66,18,0.5461493239271017,0.6080638827071606,0.7857142857142857,0.008273742686602447,0.45542925985090515,0.5051119910170794,0.547055599840574,1732,1228,0.07317799892735832,2,0.014285714285714285,27.171462987036218
