Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,26,OKC,NBA,2019-20,63,63,1680,20.5,0.006,0.421,14,24,19.2,13.2,1.5,3.4,14.2,17.3,122,106,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,283,478,282,475,1,3,117,201,207,376,583,146,51,67,94,122,684
Bam Adebayo,22,MIA,NBA,2019-20,72,72,2417,20.3,0.018,0.484,8.5,24.9,17,24.2,1.7,3.8,17.6,21.2,116,106,4.6,3.9,8.5,0.168,1.4,2,3.4,3.3,440,790,438,776,2,14,264,382,176,559,735,368,82,93,204,182,1146
LaMarcus Aldridge,34,SAS,NBA,2019-20,53,53,1754,19.7,0.198,0.241,6.3,17.8,12,11.4,1,4.4,7.8,23.4,115,112,3,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,391,793,330,636,61,157,158,191,103,289,392,129,36,87,74,128,1001
Kyle Alexander,23,MIA,NBA,2019-20,2,0,13,4.7,0,0,17.9,8.3,12.9,0,0,0,33.3,10.2,96,116,0,0,0,-0.003,-6.1,-3.5,-9.6,0,1,2,1,2,0,0,0,0,2,1,3,0,0,0,1,1,2
Nickeil Alexander-Walker,21,NOP,NBA,2019-20,47,1,591,8.9,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,93,113,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,98,266,52,133,46,133,25,37,9,75,84,89,17,8,54,57,267
Grayson Allen,24,MEM,NBA,2019-20,38,0,718,12,0.562,0.179,1.2,11.1,6.2,10,0.7,0.2,10.9,17.6,114,115,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1,117,251,60,110,57,141,39,45,8,77,85,52,10,2,33,53,330
Jarrett Allen,21,BRK,NBA,2019-20,70,64,1852,20.7,0.013,0.581,12.3,24.9,18.7,8.9,1,4.2,11.7,14.9,132,106,5.2,2.9,8.2,0.212,1.4,1,2.3,2,302,465,302,459,0,6,171,270,216,455,671,110,40,92,77,162,775
Kadeem Allen,27,NYK,NBA,2019-20,10,0,117,14,0.364,0.25,1.8,6.6,4.1,27,2.1,1.6,14.1,20.6,106,114,0.1,0.1,0.1,0.053,-0.1,-0.6,-0.7,0,19,44,14,28,5,16,7,11,2,7,9,21,5,2,8,7,50
Al-Farouq Aminu,29,ORL,NBA,2019-20,18,2,380,7.6,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,88,108,-0.4,0.5,0.1,0.014,-4.4,1.4,-3,-0.1,25,86,16,50,9,36,19,29,24,63,87,21,18,8,17,27,78
Justin Anderson,26,BRK,NBA,2019-20,10,1,107,3.2,0.763,0.105,1,18.9,10.2,10.1,0,4.7,9.1,17.1,78,109,-0.2,0.1,-0.1,-0.054,-6.8,-0.9,-7.7,-0.2,10,38,4,9,6,29,2,4,1,20,21,8,0,6,4,13,28
Kyle Anderson,26,MEM,NBA,2019-20,67,28,1330,12.5,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,109,109,0.9,1.7,2.5,0.091,-1.5,2,0.5,0.9,157,331,133,246,24,85,52,78,58,227,285,162,54,37,66,111,390
Ryan Anderson,31,HOU,NBA,2019-20,2,0,14,9.4,0.714,0,0,52.9,26.2,20.4,3.3,0,12.5,23.7,78,98,0,0,0,-0.037,-3.3,0.5,-2.8,0,2,7,1,2,1,5,0,0,0,7,7,2,1,0,1,1,5
Giannis Antetokounmpo,25,MIL,NBA,2019-20,63,63,1917,31.9,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3,13.2,37.5,116,97,6.1,5,11.1,0.279,7.4,4.1,11.5,6.6,685,1238,596,945,89,293,398,629,140,716,856,354,61,66,230,195,1857
Kostas Antetokounmpo,22,LAL,NBA,2019-20,5,0,20,16.3,0,0.667,11.1,5.4,8.2,13.7,0,0,20.5,10.3,153,115,0.1,0,0.1,0.193,0.2,-0.9,-0.7,0,3,3,3,3,0,0,1,2,2,1,3,2,0,0,1,2,7
