season,pct_fga_2p,pct_fga_3to10_ft,pct_fga_10to16_ft,pct_2pm,pct_fgm_0to3_ft,pct_fgm_3to10_ft,pct_fgm_10to16_ft,pct_fgm_16ftto3pt,pct_3pm,pct_2pm_assisted,pct_3pm_assisted,pct_3pa_corner,pct_3pm_corner
2021,0.608,0.186,0.096,0.53,0.675,0.428,0.435,0.409,0.367,0.502,0.826,0.222,0.395
2020,0.616,0.165,0.093,0.524,0.667,0.396,0.416,0.404,0.358,0.504,0.815,0.211,0.39
2019,0.641,0.162,0.096,0.52,0.658,0.4,0.413,0.401,0.355,0.513,0.823,0.214,0.383
2018,0.663,0.156,0.106,0.51,0.658,0.394,0.415,0.4,0.362,0.499,0.83,0.208,0.394
2017,0.684,0.152,0.099,0.503,0.631,0.414,0.412,0.403,0.358,0.495,0.835,0.228,0.388
2016,0.715,0.158,0.103,0.491,0.624,0.396,0.405,0.398,0.354,0.51,0.836,0.248,0.377
2015,0.732,0.164,0.103,0.485,0.627,0.384,0.403,0.394,0.35,0.52,0.843,0.254,0.387
2014,0.741,0.169,0.105,0.488,0.636,0.39,0.401,0.395,0.36,0.518,0.837,0.248,0.39
2013,0.757,0.164,0.107,0.483,0.631,0.381,0.395,0.393,0.359,0.535,0.851,0.268,0.39
2012,0.774,0.169,0.11,0.477,0.634,0.378,0.388,0.388,0.349,0.518,0.843,0.261,0.376
2011,0.778,0.178,0.11,0.487,0.65,0.392,0.398,0.403,0.358,0.518,0.86,0.27,0.394
2010,0.778,0.129,0.11,0.492,0.613,0.421,0.4,0.402,0.355,0.505,0.847,0.258,0.392
2009,0.776,0.124,0.111,0.485,0.602,0.412,0.395,0.407,0.367,0.501,0.859,0.274,0.395
2008,0.778,0.124,0.111,0.484,0.607,0.408,0.391,0.409,0.362,0.523,0.867,0.264,0.395
2007,0.787,0.131,0.113,0.485,0.61,0.411,0.392,0.404,0.358,0.527,0.863,0.271,0.384
2006,0.798,0.133,0.119,0.478,0.601,0.4,0.391,0.405,0.358,0.523,0.851,0.27,0.39
2005,0.804,0.135,0.129,0.47,0.596,0.391,0.383,0.4,0.356,0.544,0.854,0.272,0.384
2004,0.813,0.147,0.141,0.46,0.592,0.382,0.377,0.388,0.347,0.565,0.857,0.261,0.378
2003,0.818,0.15,0.146,0.463,0.603,0.384,0.388,0.389,0.349,0.56,0.852,0.257,0.369
2002,0.819,0.148,0.153,0.465,0.605,0.382,0.388,0.397,0.354,0.564,0.856,0.235,0.384
2001,0.83,0.168,0.158,0.461,0.619,0.359,0.385,0.4,0.354,0.572,0.852,0.239,0.381
