"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"LeBron James","CLE",80,3384,6353,2175,687,1376,0.4992732558139535,108,308,0.35064935064935066,0.3517915309446254,477,612,762,162,162,0.44541484716157204,0.4700460829493088,0.5,0.1828978622327791,0.49470713436385255,0.5041567695961995,0.553076923076923,72,68,0.04941860465116279,3,0.00974025974025974,29.651474530831102
"Stephon Marbury","NYK",82,3295,6306,1781,489,983,0.49745676500508645,115,325,0.35384615384615387,0.3560371517027864,458,208,770,219,126,0.21267893660531698,0.2157676348547718,0.6347826086956522,0.2484709480122324,0.5010914176245211,0.5057339449541285,0.5710135571336346,14,85,0.08646998982706001,3,0.009230769230769232,24.64048672566372
"Gilbert Arenas","WAS",80,3279,6439,2038,451,961,0.46930280957336107,205,562,0.36476868327402134,0.3669064748201439,521,232,670,411,204,0.2572062084257206,0.26851851851851855,0.6682926829268293,0.3690085357846356,0.4998484818481848,0.4980302035456336,0.5602678571428571,38,63,0.06555671175858481,6,0.010676156583629894,26.943966088223608
"Joe Johnson","PHX",82,3238,6508,1400,367,809,0.453646477132262,177,370,0.4783783783783784,0.49162011173184356,135,204,530,504,27,0.2779291553133515,0.29737609329446063,0.9491525423728814,0.3138252756573367,0.4865590987124464,0.5364715860899067,0.5542359461599367,48,52,0.06427688504326329,2,0.005405405405405406,19.02129954165543
"Tracy McGrady","HOU",78,3191,5939,2003,573,1225,0.46775510204081633,142,435,0.3264367816091954,0.3325526932084309,431,410,736,219,207,0.35776614310645727,0.36804308797127466,0.5140845070422535,0.2620481927710843,0.4735760764099454,0.4734939759036145,0.5252100840336135,32,43,0.03510204081632653,8,0.01839080459770115,31.00147275405007
"Allen Iverson","PHI",75,3176,6354,2302,667,1480,0.4506756756756757,104,338,0.3076923076923077,0.31137724550898205,656,226,1108,177,135,0.16941529235382308,0.17018072289156627,0.5673076923076923,0.1859185918591859,0.4918014624724062,0.4526952695269527,0.5258064516129032,6,100,0.06756756756756757,1,0.0029585798816568047,34.81573843169853
"Shawn Marion","PHX",81,3144,6348,1569,499,948,0.5263713080168776,114,341,0.3343108504398827,0.3343108504398827,229,680,318,330,12,0.6813627254509018,0.7780320366132724,0.9649122807017544,0.26454615981380913,0.5243391776570985,0.5197827773467805,0.5536984352773826,124,50,0.052742616033755275,1,0.002932551319648094,21.103448275862068
"Kevin Garnett","MIN",82,3121,5865,1817,677,1335,0.5071161048689139,6,25,0.24,0.25,445,900,454,12,6,0.6646971935007385,0.7154213036565977,0.6666666666666666,0.01838235294117647,0.4408324742268041,0.5044117647058823,0.5646364201367309,96,60,0.0449438202247191,0,0,27.15005931198102
"Mike Bibby","SAC",80,3091,6082,1571,429,900,0.4766666666666667,131,364,0.3598901098901099,0.3608815426997245,320,398,460,330,63,0.46386946386946387,0.47607655502392343,0.8396946564885496,0.2879746835443038,0.4836046714172605,0.49485759493670883,0.5390463026952315,22,27,0.03,2,0.005494505494505495,23.72393961179008
"Ray Allen","SEA",78,3069,5704,1867,431,938,0.4594882729211087,209,556,0.37589928057553956,0.3793103448275862,378,268,594,504,123,0.3109048723897912,0.3175355450236967,0.8038277511961722,0.37215528781793844,0.48200924680564894,0.49832663989290493,0.545808383233533,18,65,0.06929637526652452,6,0.01079136690647482,27.457121551081283
"Tayshaun Prince","DET",82,3044,5529,1206,422,825,0.5115151515151515,47,138,0.34057971014492755,0.34306569343065696,221,494,350,138,3,0.5853080568720379,0.6221662468513854,0.9787234042553191,0.14330218068535824,0.48247983367983366,0.5114226375908619,0.5549399815327793,50,53,0.06424242424242424,1,0.007246376811594203,18.81081081081081
"Dirk Nowitzki","DAL",78,3028,5881,2032,572,1217,0.47000821692686934,91,228,0.3991228070175439,0.4017857142857143,615,562,582,219,54,0.49125874125874125,0.5081374321880651,0.8021978021978022,0.15778546712802768,0.45609861111111116,0.4903114186851211,0.5715096481271282,38,56,0.04601479046836483,0,0,28.78360314867073
"Chris Bosh","TOR",81,3014,5821,1361,470,995,0.4723618090452261,3,10,0.3,0.375,412,576,364,9,0,0.6127659574468085,0.6666666666666666,1,0.009950248756218905,0.4568305084745763,0.4721393034825871,0.5426634768740032,76,76,0.0763819095477387,0,0,22.041940915352825
"Elton Brand","LAC",81,3005,5633,1622,629,1248,0.5040064102564102,0,3,0,0,364,806,452,0,0,0.6406995230524642,0.7132743362831858,0,0.002398081534772182,0.45296016,0.5027977617905676,0.5558601782042495,128,81,0.06490384615384616,0,0,25.172466656446417
"Dwyane Wade","MIA",77,2978,5662,1854,617,1273,0.4846818538884525,13,45,0.28888888888888886,0.3,581,310,924,12,27,0.25121555915721233,0.2600671140939597,0.3076923076923077,0.03414264036418816,0.48089329268292685,0.48292867981790594,0.5572634116937915,42,73,0.05734485467399843,0,0,30.753690753690755
"Steve Francis","ORL",78,2975,5888,1663,525,1203,0.43640897755610975,38,127,0.2992125984251969,0.3114754098360656,499,260,790,51,63,0.24761904761904763,0.25742574257425743,0.4473684210526316,0.09548872180451128,0.4741230362537764,0.43759398496240604,0.5175,40,55,0.0457190357439734,1,0.007874015748031496,28.42526690391459
"Antoine Walker","BOS",77,2966,5676,1473,471,1036,0.4546332046332046,110,341,0.3225806451612903,0.3224852071005917,201,316,626,294,36,0.3354564755838641,0.3798076923076923,0.8909090909090909,0.2476397966594045,0.50978164603059,0.46187363834422657,0.4776264591439689,110,103,0.09942084942084942,1,0.002932551319648094,27.2754900471053
"Paul Pierce","BOS",82,2964,5797,1769,448,931,0.48120300751879697,108,292,0.3698630136986301,0.3711340206185567,549,362,534,252,72,0.40401785714285715,0.418013856812933,0.7777777777777778,0.23875715453802127,0.4894798935298935,0.4987735077677841,0.5721409574468085,30,65,0.06981740064446831,0,0,26.40073081607795
"Richard Hamilton","DET",76,2937,5387,1424,474,1042,0.45489443378119004,36,118,0.3050847457627119,0.3103448275862069,368,544,404,108,0,0.5738396624472574,0.5925925925925926,1,0.10172413793103448,0.4603545847750865,0.45517241379310347,0.5181347150259067,30,76,0.07293666026871401,2,0.01694915254237288,24.86512218343383
"Chucky Atkins","LAL",82,2912,5590,1115,212,455,0.46593406593406594,176,455,0.3868131868131868,0.3963963963963964,163,146,278,477,51,0.3443396226415094,0.3459715639810427,0.9034090909090909,0.5,0.5072662583518931,0.5230769230769231,0.5537313432835821,2,30,0.06593406593406594,3,0.006593406593406593,17.92364990689013
"Desmond Mason","MIL",80,2885,5489,1377,477,1071,0.44537815126050423,1,8,0.125,0.16666666666666666,420,538,416,3,0,0.5639412997903563,0.5964523281596452,1,0.0074142724745134385,0.4670810584958217,0.44346617238183506,0.5213089802130898,52,45,0.04201680672268908,0,0,23.257277734067664
"Amar'e Stoudemire","PHX",80,2885,5765,2080,744,1320,0.5636363636363636,3,16,0.1875,0.25,583,888,600,6,3,0.5967741935483871,0.6636771300448431,0.6666666666666666,0.011976047904191617,0.4940462837837838,0.5602544910179641,0.6168446026097272,150,94,0.07121212121212121,0,0,28.64344637946838
"Chauncey Billups","DET",80,2874,5220,1316,239,526,0.4543726235741445,165,387,0.4263565891472868,0.4296875,343,162,316,360,135,0.3389121338912134,0.3446808510638298,0.7272727272727273,0.4238773274917853,0.49499834801762116,0.5328587075575028,0.5984215413184772,8,34,0.06463878326996197,2,0.00516795865633075,20.650566781665844
"Kurt Thomas","NYK",80,2860,5480,916,422,897,0.47045707915273133,2,4,0.5,0.5,66,704,140,6,0,0.8341232227488151,0.9119170984455959,1,0.004439511653718091,0.4129627081021088,0.4716981132075472,0.48775292864749736,72,36,0.04013377926421405,0,0,16.599967984632624
"Michael Redd","MIL",75,2852,5436,1723,521,1125,0.4631111111111111,104,293,0.35494880546075086,0.3561643835616438,369,538,504,270,42,0.5163147792706334,0.5358565737051793,0.8653846153846154,0.2066290550070522,0.462732745236415,0.4774330042313117,0.5297246558197747,38,68,0.060444444444444446,1,0.0034129692832764505,27.320075757575758
"Andre Miller","DEN",82,2849,5538,1113,421,856,0.49182242990654207,6,39,0.15384615384615385,0.20689655172413793,253,380,462,6,12,0.4513064133016627,0.46798029556650245,0.3333333333333333,0.04357541899441341,0.48905724801812006,0.48044692737430167,0.5394352482960078,30,70,0.08177570093457943,0,0,19.715415019762847
"Quentin Richardson","PHX",79,2845,5726,1176,181,414,0.43719806763285024,226,631,0.358161648177496,0.36276083467094705,136,176,186,606,72,0.4861878453038674,0.5238095238095238,0.8938053097345132,0.6038277511961723,0.5372775096525096,0.49760765550239233,0.5208333333333334,26,36,0.08695652173913043,9,0.014263074484944533,18.797797491587644
"Vince Carter","NJN",77,2838,5392,1886,569,1228,0.46335504885993484,127,313,0.4057507987220447,0.41233766233766234,367,578,560,318,63,0.507908611599297,0.5371747211895911,0.8346456692913385,0.20311486048020766,0.47197685546875,0.4928617780661908,0.5372706422018348,62,51,0.041530944625407164,0,0,30.992539734025303
"Eddie Jones","MIA",80,2837,5402,1018,209,438,0.4771689497716895,142,382,0.3717277486910995,0.37270341207349084,174,286,132,423,3,0.6842105263157895,0.7044334975369458,0.9929577464788732,0.4658536585365854,0.5149855745721271,0.5146341463414634,0.5509413067552602,12,23,0.05251141552511415,1,0.002617801047120419,16.372549019607842
"P.J. Brown","NOH",82,2826,5207,886,338,758,0.44591029023746703,0,0,0,0,210,482,194,0,0,0.7130177514792899,0.8339100346020761,0,0,0.4468668865435356,0.44591029023746703,0.506896551724138,98,58,0.07651715039577836,0,0,15.918032786885245
"Bobby Simmons","LAC",75,2811,5261,1229,424,902,0.4700665188470067,50,115,0.43478260869565216,0.45045045045045046,231,620,228,144,6,0.7311320754716981,0.7828282828282829,0.96,0.11307767944936087,0.4496237907206318,0.49065880039331367,0.5318021201413428,56,43,0.04767184035476718,2,0.017391304347826087,20.75192907568544
"Kirk Hinrich","CHI",77,2798,5371,1206,300,714,0.42016806722689076,145,408,0.3553921568627451,0.3625,171,254,346,327,108,0.42333333333333334,0.43050847457627117,0.7517241379310344,0.36363636363636365,0.4811756744604317,0.4612299465240642,0.4901234567901235,10,55,0.07703081232492998,3,0.007352941176470588,22.468098853173963
"David Wesley","HOU",80,2777,5190,948,216,525,0.4114285714285714,118,315,0.3746031746031746,0.37579617834394907,162,332,100,330,24,0.7685185185185185,0.772093023255814,0.9322033898305084,0.375,0.49731391875746717,0.46785714285714286,0.5038293216630197,2,28,0.05333333333333334,3,0.009523809523809525,17.111407605070045
"Damon Stoudamire","POR",81,2769,5174,1277,276,675,0.4088888888888889,181,490,0.3693877551020408,0.3709016393442623,182,200,352,450,93,0.36231884057971014,0.3663003663003663,0.8287292817679558,0.4206008583690987,0.49175094745908704,0.4699570815450644,0.5044319097502015,6,46,0.06814814814814815,2,0.004081632653061225,23.44401802102453
"Caron Butler","LAL",77,2742,5258,1195,403,866,0.4653579676674365,38,125,0.304,0.31932773109243695,275,500,306,111,3,0.6203473945409429,0.6830601092896175,0.9736842105263158,0.12613521695257315,0.5051500508646999,0.46417759838546924,0.526060070671378,74,71,0.08198614318706697,0,0,20.701581027667984
"Tony Parker","SAS",80,2736,5092,1331,496,962,0.5155925155925156,43,156,0.27564102564102566,0.2792207792207792,210,312,680,117,12,0.31451612903225806,0.31901840490797545,0.9069767441860465,0.13953488372093023,0.5012701257861635,0.5013416815742398,0.526503164556962,14,77,0.08004158004158005,0,0,25.183041035246042
"Rafer Alston","TOR",80,2723,5311,1136,264,585,0.4512820512820513,139,389,0.35732647814910024,0.3582474226804124,191,80,448,228,189,0.15151515151515152,0.15384615384615385,0.5467625899280576,0.3993839835728953,0.5197132201646091,0.4851129363449692,0.5192131747483989,8,42,0.07179487179487179,0,0,21.184166387118417
"Jason Richardson","GSW",72,2720,5327,1559,485,998,0.48597194388777554,125,370,0.33783783783783783,0.3405994550408719,214,454,516,282,93,0.46804123711340206,0.5112612612612613,0.752,0.27046783625730997,0.497774706744868,0.49159356725146197,0.5162466843501327,82,64,0.06412825651302605,0,0,27.05275044361994
"Jalen Rose","TOR",81,2714,5277,1495,419,885,0.47344632768361583,108,274,0.39416058394160586,0.4,333,298,540,282,42,0.3556085918854415,0.3616504854368932,0.8703703703703703,0.2364106988783434,0.4653590476190476,0.5012942191544435,0.5564454614797865,14,50,0.05649717514124294,2,0.0072992700729927005,25.224158348841144
