"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"James Harden","HOU",82,3125,612,1458,378,234,294,65,19,106,128
"Gordon Hayward","UTA",80,2893,296,704,184,112,124,35,25,55,57
"Kemba Walker","CHA",81,2885,421,1037,226,195,135,43,48,35,160
"Trevor Ariza","HOU",81,2859,188,456,108,80,78,18,12,28,52
"Marcus Morris","DET",80,2856,201,473,130,71,76,30,24,29,42
"Khris Middleton","MIL",79,2852,331,704,289,42,208,46,35,19,23
"Kyle Lowry","TOR",77,2851,494,1140,342,152,219,63,60,70,82
"Andrew Wiggins","MIN",81,2845,164,371,121,43,53,21,47,13,30
"Giannis Antetokounmpo","MIL",80,2823,345,754,281,64,161,65,55,23,41
"Paul George","IND",81,2819,329,730,257,72,174,37,46,30,42
"Draymond Green","GSW",81,2808,598,1411,383,215,268,53,62,70,145
"DeMar DeRozan","TOR",78,2804,315,790,155,160,104,28,23,51,109
"Kentavious Caldwell-Pope","DET",76,2789,138,335,79,59,52,20,7,23,36
"John Wall","WAS",77,2784,789,1854,513,276,293,89,131,89,187
"CJ McCollum","POR",80,2780,341,799,224,117,137,37,50,43,74
"Russell Westbrook","OKC",80,2750,834,1828,674,160,403,115,156,53,107
"Monta Ellis","IND",81,2734,383,893,256,127,163,42,51,49,78
"LeBron James","CLE",76,2709,514,1268,274,240,164,53,57,95,145
"Joe Johnson","MIA",81,2704,318,711,243,75,116,67,60,36,39
"Stephen Curry","GSW",79,2700,527,1222,359,168,264,42,53,46,122
"Damian Lillard","POR",75,2676,512,1217,319,193,202,50,67,67,126
"Klay Thompson","GSW",80,2666,166,384,114,52,86,12,16,21,31
"Andre Drummond","DET",81,2666,67,164,37,30,22,7,8,13,17
"Paul Millsap","ATL",81,2647,265,642,153,112,107,12,34,41,71
"Isaiah Thomas","BOS",82,2644,509,1190,337,172,188,47,102,54,118
"Wesley Matthews","DAL",78,2644,151,361,92,59,46,19,27,12,47
"Al Horford","ATL",82,2631,263,627,162,101,105,18,39,35,66
"Karl-Anthony Towns","MIN",82,2627,161,363,120,41,66,17,37,8,33
"DeAndre Jordan","LAC",77,2598,90,207,63,27,33,6,24,11,16
"Kevin Durant","OKC",72,2578,361,827,256,105,140,54,62,66,39
"Evan Fournier","ORL",79,2566,214,470,172,42,75,28,69,14,28
"Jordan Clarkson","LAL",79,2552,192,450,126,66,65,24,37,17,49
"Rodney Hood","UTA",79,2541,213,505,134,79,81,20,33,30,49
"PJ Tucker","PHX",82,2540,177,412,119,58,74,12,33,15,43
"Rajon Rondo","SAC",72,2537,839,1873,644,195,386,109,149,60,135
"Avery Bradley","BOS",76,2536,158,352,122,36,73,26,23,7,29
"Carmelo Anthony","NYK",72,2530,299,704,193,106,98,56,39,33,73
"George Hill","IND",74,2524,259,594,183,76,81,31,71,27,49
"Tobias Harris","DET",76,2513,169,406,101,68,47,26,28,24,44
"Serge Ibaka","OKC",78,2500,66,170,28,38,20,5,3,16,22
"Jimmy Butler","CHI",67,2474,321,745,218,103,83,43,92,31,72
"Brook Lopez","BKN",73,2457,146,331,107,39,72,17,18,10,29
"Nicolas Batum","CHA",70,2448,403,955,254,149,162,59,33,32,117
"Gary Harris","DEN",76,2439,147,334,107,40,65,17,25,10,30
"Kevin Love","CLE",77,2425,185,438,117,68,87,14,16,20,48
"Reggie Jackson","DET",79,2424,492,1150,326,166,205,63,58,52,114
"Chris Paul","LAC",74,2420,738,1710,504,234,295,41,168,60,174
"Jabari Parker","MIL",76,2408,130,287,103,27,73,15,15,10,17
"Thaddeus Young","BKN",73,2408,136,313,95,41,55,29,11,21,20
"Kyle Korver","ATL",80,2401,164,371,121,43,75,22,24,16,27
"Luol Deng","MIA",74,2394,140,328,92,48,61,12,19,23,25
"Kawhi Leonard","SAS",72,2380,186,425,133,53,59,25,49,13,40
"Victor Oladipo","ORL",72,2379,282,642,204,78,92,35,77,24,54
"Rudy Gay","SAC",70,2379,120,281,79,41,54,12,13,13,28
"Arron Afflalo","NYK",71,2371,144,335,97,47,33,25,39,8,39
"Dirk Nowitzki","DAL",75,2364,132,324,72,60,52,9,11,28,32
"Goran Dragic","MIA",72,2363,419,946,311,108,175,39,97,43,65
"JR Smith","CLE",77,2362,130,311,79,51,50,9,20,19,32
"Will Barton","DEN",82,2353,203,455,154,49,100,19,35,13,36
"Al-Farouq Aminu","POR",82,2341,138,335,79,59,49,16,14,19,40
"Marvin Williams","CHA",81,2338,110,270,60,50,30,8,22,11,39
"Courtney Lee","CHA",79,2334,136,315,93,43,34,23,36,16,27
"Ricky Rubio","MIN",76,2323,658,1398,576,82,292,110,174,21,61
"Greg Monroe","MIL",79,2314,178,410,124,54,82,16,26,16,38
"Jae Crowder","BOS",73,2308,135,305,100,35,71,12,17,8,27
"Zach LaVine","MIN",82,2293,251,554,199,52,108,29,62,12,40
"Pau Gasol","CHI",72,2292,294,669,213,81,160,32,21,17,64
"Julius Randle","LAL",81,2286,144,359,73,71,37,12,24,16,55
"Dwight Howard","HOU",71,2280,98,233,61,37,45,8,8,9,28
"Otto Porter Jr.","WAS",75,2276,120,269,91,29,62,13,16,10,19
"Evan Turner","BOS",81,2271,359,817,260,99,183,30,47,24,75
"Tristan Thompson","CLE",82,2269,62,162,24,38,14,3,7,8,30
"LaMarcus Aldridge","SAS",74,2261,110,261,69,41,36,14,19,10,31
"D'Angelo Russell","LAL",80,2259,266,609,189,77,106,35,48,16,61
"Dwyane Wade","MIA",74,2258,344,789,243,101,173,30,40,55,46
"Marcin Gortat","WAS",75,2256,106,245,73,33,39,7,27,7,26
"Jeff Teague","ATL",79,2255,470,1093,317,153,175,44,98,36,117
"Jeff Green","LAC",80,2253,138,328,86,52,42,22,22,25,27
"DeMarcus Cousins","SAC",65,2246,214,500,142,72,107,13,22,24,48
"Ish Smith","PHI",77,2239,502,1177,329,173,210,42,77,38,135
"Justise Winslow","MIA",78,2232,118,266,88,30,52,13,23,15,15
"Gorgui Dieng","MIN",82,2220,143,325,104,39,59,9,36,15,24
"Robin Lopez","NYK",82,2219,114,258,84,30,24,8,52,6,24
"Darren Collison","SAC",74,2219,318,733,221,97,125,58,38,15,82
"Raymond Felton","DAL",80,2192,284,690,162,122,100,14,48,39,83
"Matt Barnes","MEM",76,2190,163,355,134,29,83,24,27,14,15
"Anthony Davis","NOP",61,2164,116,274,74,42,50,9,15,9,33
"Hollis Thompson","PHI",77,2154,99,232,65,34,45,11,9,13,21
"Dion Waiters","OKC",78,2152,154,374,88,66,52,16,20,26,40
"Elfrid Payton","ORL",73,2145,467,1047,354,113,181,55,118,29,84
"Jamal Crawford","LAC",79,2126,183,417,132,51,100,10,22,15,36
"Hassan Whiteside","MIA",73,2126,29,61,26,3,17,3,6,1,2
"Bojan Bogdanovic","BKN",79,2115,99,227,70,29,32,20,18,12,17
"Devin Booker","PHX",76,2108,200,470,130,70,88,17,25,25,45
"Deron Williams","DAL",65,2106,378,905,229,149,115,36,78,30,119
"Allen Crabbe","POR",81,2105,99,234,63,36,38,10,15,8,28
"Jared Dudley","WAS",81,2098,171,394,119,52,79,26,14,18,34
"Derrick Rose","CHI",66,2098,311,713,220,91,93,27,100,37,54
"JJ Redick","LAC",75,2097,106,249,69,37,49,5,15,15,22
"Mason Plumlee","POR",82,2084,226,543,135,91,77,16,42,24,67
"Kent Bazemore","ATL",75,2083,171,380,133,38,85,20,28,8,30
"Emmanuel Mudiay","DEN",68,2068,372,841,275,97,182,48,45,26,71
"Jerami Grant","PHI",77,2066,135,333,72,63,43,13,16,19,44
"Danny Green","SAS",79,2061,141,315,108,33,48,25,35,15,18
"Jeremy Lin","CHA",78,2048,235,562,143,92,92,24,27,23,69
"Kristaps Porzingis","NYK",72,2046,94,224,58,36,30,11,17,12,24
"Cory Joseph","TOR",80,2046,250,602,148,102,80,36,32,30,72
"Harrison Barnes","GSW",66,2041,117,295,56,61,33,4,19,16,45
"Patrick Beverley","HOU",71,2041,239,566,151,88,104,35,12,33,55
"Nikola Vucevic","ORL",65,2037,179,444,93,86,69,6,18,18,68
"Langston Galloway","NYK",82,2033,207,480,141,66,67,20,54,20,46
"Jose Calderon","NYK",72,2024,298,694,200,98,80,51,69,33,65
"Patrick Patterson","TOR",79,2020,94,224,58,36,30,7,21,11,25
"Zach Randolph","MEM",68,2017,142,341,85,57,52,12,21,5,52
"Steven Adams","OKC",80,2015,62,146,40,22,17,6,17,7,15
